2369.8	1216.07
2369.9	1216.1
2370	1216.14
2370.1	1216.17
2370.2	1216.21
2370.3	1216.24
2370.4	1216.28
2370.5	1216.31
2370.6	1216.35
2370.7	1216.38
2370.8	1216.42
2370.9	1216.45
2371	1216.48
2371.1	1216.52
2371.2	1216.55
2371.3	1216.58
2371.4	1216.62
2371.5	1216.65
2371.6	1216.69
2371.7	1216.72
2371.8	1216.75
2371.9	1216.79
2372	1216.82
2372.1	1216.86
2372.2	1216.89
2372.3	1216.93
2372.4	1216.96
2372.5	1216.99
2372.6	1217.03
2372.7	1217.06
2372.8	1217.09
2372.9	1217.13
2373	1217.16
2373.1	1217.2
2373.2	1217.23
2373.3	1217.27
2373.4	1217.3
2373.5	1217.33
2373.6	1217.37
2373.7	1217.4
2373.8	1217.44
2373.9	1217.47
2374	1217.5
2374.1	1217.53
2374.2	1217.57
2374.3	1217.6
2374.4	1217.63
2374.5	1217.67
2374.6	1217.7
2374.7	1217.73
2374.8	1217.77
2374.9	1217.8
2375	1217.83
2375.1	1217.87
2375.2	1217.9
2375.3	1217.93
2375.4	1217.96
2375.5	1218
2375.6	1218.03
2375.7	1218.06
2375.8	1218.1
2375.9	1218.13
2376	1218.16
2376.1	1218.19
2376.2	1218.23
2376.3	1218.26
2376.4	1218.29
2376.5	1218.33
2376.6	1218.36
2376.7	1218.39
2376.8	1218.42
2376.9	1218.45
2377	1218.49
2377.1	1218.52
2377.2	1218.55
2377.3	1218.58
2377.4	1218.61
2377.5	1218.65
2377.6	1218.68
2377.7	1218.71
2377.8	1218.75
2377.9	1218.78
2378	1218.81
2378.1	1218.85
2378.2	1218.88
2378.3	1218.91
2378.4	1218.95
2378.5	1218.98
2378.6	1219.01
2378.7	1219.04
2378.8	1219.07
2378.9	1219.1
2379	1219.13
2379.1	1219.17
2379.2	1219.2
2379.3	1219.24
2379.4	1219.27
2379.5	1219.3
2379.6	1219.34
2379.7	1219.37
2379.8	1219.41
2379.9	1219.44
2380	1219.48
2380.1	1219.51
2380.2	1219.54
2380.3	1219.58
2380.4	1219.61
2380.5	1219.64
2380.6	1219.67
2380.7	1219.71
2380.8	1219.74
2380.9	1219.77
2381	1219.81
2381.1	1219.84
2381.2	1219.87
2381.3	1219.91
2381.4	1219.94
2381.5	1219.97
2381.6	1220.01
2381.7	1220.04
2381.8	1220.07
2381.9	1220.11
2382	1220.14
2382.1	1220.17
2382.2	1220.2
2382.3	1220.24
2382.4	1220.27
2382.5	1220.3
2382.6	1220.33
2382.7	1220.37
2382.8	1220.4
2382.9	1220.43
2383	1220.47
2383.1	1220.5
2383.2	1220.53
2383.3	1220.57
2383.4	1220.6
2383.5	1220.63
2383.6	1220.67
2383.7	1220.7
2383.8	1220.74
2383.9	1220.77
2384	1220.8
2384.1	1220.84
2384.2	1220.87
2384.3	1220.9
2384.4	1220.93
2384.5	1220.97
2384.6	1221
2384.7	1221.03
2384.8	1221.07
2384.9	1221.1
2385	1221.13
2385.1	1221.17
2385.2	1221.2
2385.3	1221.23
2385.4	1221.27
2385.5	1221.3
2385.6	1221.33
2385.7	1221.36
2385.8	1221.4
2385.9	1221.43
2386	1221.46
2386.1	1221.49
2386.2	1221.52
2386.3	1221.56
2386.4	1221.59
2386.5	1221.62
2386.6	1221.66
2386.7	1221.69
2386.8	1221.72
2386.9	1221.76
2387	1221.79
2387.1	1221.82
2387.2	1221.86
2387.3	1221.89
2387.4	1221.93
2387.5	1221.96
2387.6	1221.99
2387.7	1222.03
2387.8	1222.06
2387.9	1222.09
